"","cent.Camr_Nm","cent.Latitud","cent.Longitd","na.rm"
"274","A11-12",9.3344,-83.6265,TRUE
"275","A11-12",9.3344,-83.6265,TRUE
"276","A11-12",9.3344,-83.6265,TRUE
"277","A11-12",9.3344,-83.6265,TRUE
"278","A11-12",9.3344,-83.6265,TRUE
"279","A11-12",9.3344,-83.6265,TRUE
"280","A11-12",9.3344,-83.6265,TRUE
"281","A11-12",9.3344,-83.6265,TRUE
"282","A11-12",9.3344,-83.6265,TRUE
"283","A11-12",9.3344,-83.6265,TRUE
"284","A11-12",9.3344,-83.6265,TRUE
"285","A11-12",9.3344,-83.6265,TRUE
"286","A11-12",9.3344,-83.6265,TRUE
"287","A11-12",9.3344,-83.6265,TRUE
"288","A11-12",9.3344,-83.6265,TRUE
"289","A11-12",9.3344,-83.6265,TRUE
"290","A11-12",9.3344,-83.6265,TRUE
"291","A11-12",9.3344,-83.6265,TRUE
"292","A11-12",9.3344,-83.6265,TRUE
"293","A11-12",9.3344,-83.6265,TRUE
"294","A11-12",9.3344,-83.6265,TRUE
"295","A11-12",9.3344,-83.6265,TRUE
"296","A11-12",9.3344,-83.6265,TRUE
"297","A11-12",9.3344,-83.6265,TRUE
"298","A11-12",9.3344,-83.6265,TRUE
"299","A11-12",9.3344,-83.6265,TRUE
"300","A11-12",9.3344,-83.6265,TRUE
"301","A11-12",9.3344,-83.6265,TRUE
"302","A11-12",9.3344,-83.6265,TRUE
"303","A11-12",9.3344,-83.6265,TRUE
"304","A11-12",9.3344,-83.6265,TRUE
"305","A11-12",9.3344,-83.6265,TRUE
"306","A11-12",9.3344,-83.6265,TRUE
"307","A11-12",9.3344,-83.6265,TRUE
"308","A11-12",9.3344,-83.6265,TRUE
"309","A11-12",9.3344,-83.6265,TRUE
"310","A11-12",9.3344,-83.6265,TRUE
"311","A11-12",9.3344,-83.6265,TRUE
"312","A11-12",9.3344,-83.6265,TRUE
"313","A11-12",9.3344,-83.6265,TRUE
"314","A11-12",9.3344,-83.6265,TRUE
"315","A11-12",9.3344,-83.6265,TRUE
"316","A11-12",9.3344,-83.6265,TRUE
"317","A11-12",9.3344,-83.6265,TRUE
"318","A11-12",9.3344,-83.6265,TRUE
"319","A11-12",9.3344,-83.6265,TRUE
"320","A11-12",9.3344,-83.6265,TRUE
"321","A11-12",9.3344,-83.6265,TRUE
"322","A11-12",9.3344,-83.6265,TRUE
"323","A11-12",9.3344,-83.6265,TRUE
"324","A11-12",9.3344,-83.6265,TRUE
"325","A11-12",9.3344,-83.6265,TRUE
"326","A11-12",9.3344,-83.6265,TRUE
"327","A11-12",9.3344,-83.6265,TRUE
"328","A11-12",9.3344,-83.6265,TRUE
"329","A11-12",9.3344,-83.6265,TRUE
"330","A11-12",9.3344,-83.6265,TRUE
"331","A11-12",9.3344,-83.6265,TRUE
"332","A11-12",9.3344,-83.6265,TRUE
"333","A11-12",9.3344,-83.6265,TRUE
"334","A11-12",9.3344,-83.6265,TRUE
"335","A11-12",9.3344,-83.6265,TRUE
"336","A11-12",9.3344,-83.6265,TRUE
"337","A11-12",9.3344,-83.6265,TRUE
"338","A11-12",9.3344,-83.6265,TRUE
"339","A11-12",9.3344,-83.6265,TRUE
"340","A11-12",9.3344,-83.6265,TRUE
"341","A11-12",9.3344,-83.6265,TRUE
"342","A11-12",9.3344,-83.6265,TRUE
"343","A11-12",9.3344,-83.6265,TRUE
"344","A11-12",9.3344,-83.6265,TRUE
"345","A11-12",9.3344,-83.6265,TRUE
"346","A11-12",9.3344,-83.6265,TRUE
"347","A11-12",9.3344,-83.6265,TRUE
"348","A11-12",9.3344,-83.6265,TRUE
"349","A11-12",9.3344,-83.6265,TRUE
"350","A11-12",9.3344,-83.6265,TRUE
"351","A11-12",9.3344,-83.6265,TRUE
"352","A11-12",9.3344,-83.6265,TRUE
"353","A11-12",9.3344,-83.6265,TRUE
"354","A11-12",9.3344,-83.6265,TRUE
"355","A11-12",9.3344,-83.6265,TRUE
"356","A11-12",9.3344,-83.6265,TRUE
"357","A11-12",9.3344,-83.6265,TRUE
"358","A11-12",9.3344,-83.6265,TRUE
"359","A11-12",9.3344,-83.6265,TRUE
"360","A11-12",9.3344,-83.6265,TRUE
"361","A11-12",9.3344,-83.6265,TRUE
"362","A11-12",9.3344,-83.6265,TRUE
"363","A11-12",9.3344,-83.6265,TRUE
"364","A11-12",9.3344,-83.6265,TRUE
"365","A11-12",9.3344,-83.6265,TRUE
"366","A11-12",9.3344,-83.6265,TRUE
"367","A11-12",9.3344,-83.6265,TRUE
"368","A11-12",9.3344,-83.6265,TRUE
"369","A11-12",9.3344,-83.6265,TRUE
"370","A11-12",9.3344,-83.6265,TRUE
"371","A11-12",9.3344,-83.6265,TRUE
"372","A11-12",9.3344,-83.6265,TRUE
"373","A11-12",9.3344,-83.6265,TRUE
"374","A11-12",9.3344,-83.6265,TRUE
"375","A11-12",9.3344,-83.6265,TRUE
"376","A11-12",9.3344,-83.6265,TRUE
"377","A11-12",9.3344,-83.6265,TRUE
"378","A11-12",9.3344,-83.6265,TRUE
"379","A11-12",9.3344,-83.6265,TRUE
"380","A11-12",9.3344,-83.6265,TRUE
"381","A11-12",9.3344,-83.6265,TRUE
"382","A11-12",9.3344,-83.6265,TRUE
"383","A11-12",9.3344,-83.6265,TRUE
"384","A11-12",9.3344,-83.6265,TRUE
"385","A11-12",9.3344,-83.6265,TRUE
"386","A11-12",9.3344,-83.6265,TRUE
"387","A11-12",9.3344,-83.6265,TRUE
"388","A11-12",9.3344,-83.6265,TRUE
"389","A11-12",9.3344,-83.6265,TRUE
"390","A11-12",9.3344,-83.6265,TRUE
"391","A11-12",9.3344,-83.6265,TRUE
"392","A11-12",9.3344,-83.6265,TRUE
"393","A11-12",9.3344,-83.6265,TRUE
"394","A11-12",9.3344,-83.6265,TRUE
"395","A11-12",9.3344,-83.6265,TRUE
"396","A11-12",9.3344,-83.6265,TRUE
"397","A11-12",9.3344,-83.6265,TRUE
"398","A11-12",9.3344,-83.6265,TRUE
"399","A11-12",9.3344,-83.6265,TRUE
"400","A11-12",9.3344,-83.6265,TRUE
"401","A11-12",9.3344,-83.6265,TRUE
"402","A11-12",9.3344,-83.6265,TRUE
"403","A11-12",9.3344,-83.6265,TRUE
"404","A11-12",9.3344,-83.6265,TRUE
"405","A11-12",9.3261,-83.6218,TRUE
"406","A11-12",9.3261,-83.6218,TRUE
"407","A11-12",9.3261,-83.6218,TRUE
"408","A11-12",9.3261,-83.6218,TRUE
"409","A11-12",9.3261,-83.6218,TRUE
"410","A11-12",9.3261,-83.6218,TRUE
"411","A11-12",9.3261,-83.6218,TRUE
"412","A11-12",9.3261,-83.6218,TRUE
"413","A11-12",9.3261,-83.6218,TRUE
"414","A11-12",9.3344,-83.6265,TRUE
"415","A11-12",9.3344,-83.6265,TRUE
"416","A11-12",9.3344,-83.6265,TRUE
"417","A11-12",9.3344,-83.6265,TRUE
"418","A11-12",9.3344,-83.6265,TRUE
"419","A11-12",9.3344,-83.6265,TRUE
"420","A11-12",9.3344,-83.6265,TRUE
"421","A11-12",9.3344,-83.6265,TRUE
"422","A11-12",9.3344,-83.6265,TRUE
"423","A11-12",9.3344,-83.6265,TRUE
"424","A11-12",9.3344,-83.6265,TRUE
"425","A11-12",9.3344,-83.6265,TRUE
"426","A11-12",9.3344,-83.6265,TRUE
"427","A11-12",9.3344,-83.6265,TRUE
"428","A11-12",9.3344,-83.6265,TRUE
"429","A11-12",9.3344,-83.6265,TRUE
"430","A11-12",9.3344,-83.6265,TRUE
"431","A11-12",9.3344,-83.6265,TRUE
"432","A11-12",9.3344,-83.6265,TRUE
"433","A11-12",9.3344,-83.6265,TRUE
"434","A11-12",9.3344,-83.6265,TRUE
"435","A11-12",9.3344,-83.6265,TRUE
"436","A11-12",9.3344,-83.6265,TRUE
"437","A11-12",9.3344,-83.6265,TRUE
"438","A11-12",9.3344,-83.6265,TRUE
"439","A11-12",9.3344,-83.6265,TRUE
"440","A11-12",9.3344,-83.6265,TRUE
"441","A11-12",9.3344,-83.6265,TRUE
"442","A11-12",9.3344,-83.6265,TRUE
"443","A11-12",9.3344,-83.6265,TRUE
"444","A11-12",9.3344,-83.6265,TRUE
"445","A11-12",9.3344,-83.6265,TRUE
"446","A11-12",9.3344,-83.6265,TRUE
"447","A11-12",9.3344,-83.6265,TRUE
"448","A11-12",9.3344,-83.6265,TRUE
"449","A11-12",9.3344,-83.6265,TRUE
"450","A11-12",9.3344,-83.6265,TRUE
"451","A11-12",9.3344,-83.6265,TRUE
"452","A11-12",9.3344,-83.6265,TRUE
"453","A11-12",9.3344,-83.6265,TRUE
"454","A11-12",9.3344,-83.6265,TRUE
"455","A11-12",9.3344,-83.6265,TRUE
"456","A11-12",9.3344,-83.6265,TRUE
"457","A11-12",9.3344,-83.6265,TRUE
"458","A11-12",9.3344,-83.6265,TRUE
"459","A11-12",9.3344,-83.6265,TRUE
"460","A11-12",9.3344,-83.6265,TRUE
"461","A11-12",9.3344,-83.6265,TRUE
"462","A11-12",9.3344,-83.6265,TRUE
"463","A11-12",9.3344,-83.6265,TRUE
"464","A11-12",9.3344,-83.6265,TRUE
"465","A11-12",9.3344,-83.6265,TRUE
"466","A11-12",9.3344,-83.6265,TRUE
"467","A11-12",9.3344,-83.6265,TRUE
"468","A11-12",9.3344,-83.6265,TRUE
"469","A11-12",9.3344,-83.6265,TRUE
"470","A11-12",9.3344,-83.6265,TRUE
"471","A11-12",9.3344,-83.6265,TRUE
"472","A11-12",9.3344,-83.6265,TRUE
"473","A11-12",9.3344,-83.6265,TRUE
"474","A11-12",9.3344,-83.6265,TRUE
"475","A11-12",9.3344,-83.6265,TRUE
"476","A11-12",9.3344,-83.6265,TRUE
"477","A11-12",9.3344,-83.6265,TRUE
"478","A11-12",9.3344,-83.6265,TRUE
"479","A11-12",9.3344,-83.6265,TRUE
"480","A11-12",9.3344,-83.6265,TRUE
"481","A11-12",9.3344,-83.6265,TRUE
"482","A11-12",9.3344,-83.6265,TRUE
"483","A11-12",9.3344,-83.6265,TRUE
"484","A11-12",9.3344,-83.6265,TRUE
"485","A11-12",9.3344,-83.6265,TRUE
"486","A11-12",9.3344,-83.6265,TRUE
"487","A11-12",9.3344,-83.6265,TRUE
"488","A11-12",9.3344,-83.6265,TRUE
"489","A11-12",9.3344,-83.6265,TRUE
"490","A11-12",9.3344,-83.6265,TRUE
"491","A11-12",9.3344,-83.6265,TRUE
"492","A11-12",9.3344,-83.6265,TRUE
"493","A11-12",9.3344,-83.6265,TRUE
"494","A11-12",9.3344,-83.6265,TRUE
"495","A11-12",9.3344,-83.6265,TRUE
"496","A11-12",9.3344,-83.6265,TRUE
"497","A11-12",9.3344,-83.6265,TRUE
"498","A11-12",9.3344,-83.6265,TRUE
"499","A11-12",9.3344,-83.6265,TRUE
"500","A11-12",9.3344,-83.6265,TRUE
"501","A11-12",9.3344,-83.6265,TRUE
"502","A11-12",9.3344,-83.6265,TRUE
"503","A11-12",9.3344,-83.6265,TRUE
"504","A11-12",9.3344,-83.6265,TRUE
"505","A11-12",9.3344,-83.6265,TRUE
"506","A11-12",9.3344,-83.6265,TRUE
"507","A11-12",9.3344,-83.6265,TRUE
"508","A11-12",9.3344,-83.6265,TRUE
"509","A11-12",9.3344,-83.6265,TRUE
"510","A11-12",9.3344,-83.6265,TRUE
"511","A11-12",9.3344,-83.6265,TRUE
"512","A11-12",9.3344,-83.6265,TRUE
"513","A11-12",9.3344,-83.6265,TRUE
"514","A11-12",9.3344,-83.6265,TRUE
"515","A11-12",9.3344,-83.6265,TRUE
"516","A11-12",9.3344,-83.6265,TRUE
"517","A11-12",9.3344,-83.6265,TRUE
"518","A11-12",9.3344,-83.6265,TRUE
"519","A11-12",9.3344,-83.6265,TRUE
"520","A11-12",9.3344,-83.6265,TRUE
"521","A11-12",9.3344,-83.6265,TRUE
"522","A11-12",9.3344,-83.6265,TRUE
"523","A11-12",9.3344,-83.6265,TRUE
"524","A11-12",9.3344,-83.6265,TRUE
"525","A11-12",9.3344,-83.6265,TRUE
"526","A11-12",9.3344,-83.6265,TRUE
"527","A11-12",9.3344,-83.6265,TRUE
"528","A11-12",9.3344,-83.6265,TRUE
"529","A11-12",9.3344,-83.6265,TRUE
"530","A11-12",9.3344,-83.6265,TRUE
"531","A11-12",9.3344,-83.6265,TRUE
"532","A11-12",9.3344,-83.6265,TRUE
"533","A11-12",9.3344,-83.6265,TRUE
"534","A11-12",9.3344,-83.6265,TRUE
"535","A11-12",9.3344,-83.6265,TRUE
"536","A11-12",9.3344,-83.6265,TRUE
"537","A11-12",9.3344,-83.6265,TRUE
"538","A11-12",9.3344,-83.6265,TRUE
"539","A11-12",9.3344,-83.6265,TRUE
"540","A11-12",9.3344,-83.6265,TRUE
"541","A11-12",9.3344,-83.6265,TRUE
"542","A11-12",9.3344,-83.6265,TRUE
"543","A11-12",9.3344,-83.6265,TRUE
"544","A11-12",9.3344,-83.6265,TRUE
"545","A11-12",9.3344,-83.6265,TRUE
"546","A11-12",9.3344,-83.6265,TRUE
"547","A11-12",9.3344,-83.6265,TRUE
"548","A11-12",9.3344,-83.6265,TRUE
"549","A11-12",9.3344,-83.6265,TRUE
"550","A11-12",9.3344,-83.6265,TRUE
"551","A11-12",9.3344,-83.6265,TRUE
"552","A11-12",9.3344,-83.6265,TRUE
"553","A11-12",9.3344,-83.6265,TRUE
"554","A11-12",9.3344,-83.6265,TRUE
"555","A11-12",9.3344,-83.6265,TRUE
"556","A11-12",9.3344,-83.6265,TRUE
"557","A11-12",9.3344,-83.6265,TRUE
"558","A11-12",9.3344,-83.6265,TRUE
"559","A11-12",9.3344,-83.6265,TRUE
"560","A11-12",9.3344,-83.6265,TRUE
"561","A11-12",9.3344,-83.6265,TRUE
"562","A11-12",9.3344,-83.6265,TRUE
"563","A11-12",9.3344,-83.6265,TRUE
"564","A11-12",9.3344,-83.6265,TRUE
"565","A11-12",9.3344,-83.6265,TRUE
"566","A11-12",9.3344,-83.6265,TRUE
"567","A11-12",9.3344,-83.6265,TRUE
"568","A11-12",9.3344,-83.6265,TRUE
"569","A11-12",9.3344,-83.6265,TRUE
"570","A11-12",9.3344,-83.6265,TRUE
"571","A11-12",9.3344,-83.6265,TRUE
"572","A11-12",9.3344,-83.6265,TRUE
"573","A11-12",9.3344,-83.6265,TRUE
"574","A11-12",9.3344,-83.6265,TRUE
"575","A11-12",9.3344,-83.6265,TRUE
"576","A11-12",9.3344,-83.6265,TRUE
"577","A11-12",9.3344,-83.6265,TRUE
"578","A11-12",9.3344,-83.6265,TRUE
