"","north.Species","north.Camr_Nm","north.Latitud","north.Longitd","na.rm"
"59684","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59685","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59689","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59690","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59691","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59710","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59711","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59712","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59719","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59720","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59721","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59722","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59723","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59724","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59740","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59741","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59742","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59766","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59785","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59790","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59813","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59816","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59831","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59834","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59839","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59926","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59953","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59960","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59969","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59970","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59973","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"59974","Leopardus pardalis","EC301-302",9.7804,-83.7546,TRUE
"61410","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61411","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
"61412","Leopardus pardalis","LM4-5",9.7861,-83.6915,TRUE
